GQ845443.1	HPV121REF.fa
X74476.1	HPV34REF.fa
JF966375.1	HPV-mFD1nr.fa
MF588679.1	HPV-mw15c111nr.fa
JF966378.1	HPV-mCG2nr.fa
X70827.1	HPV4REF.fa
KF482069.1	HPV-mL55nr.fa
X74482.1	HPV53REF.fa
U31781.1	HPV23REF.fa
U37488.1	HPV54REF.fa
U31789.1	HPV48REF.fa
U21941.1	HPV70REF.fa
X74473.1	HPV27REF.fa
GQ845444.1	HPV122REF.fa
JX413105.1	HPV169REF.fa
MF588702.1	HPV-mw20c02cnr.fa
GQ246950.1	HPV117REF.fa
AF436130.1	HPV74REF.fa
GU117631.1	HPV131REF.fa
KC113191.1	HPV-mSD2nr.fa
MF588754.1	HPV-mga2c70nr.fa
X56147.1	HPV41REF.fa
KC138720.1	HPV78REF.fa
AF293960.1	HPV84REF.fa
M17463.1	HPV5REF.fa
HM999989.1	HPV137REF.fa
MF588683.1	HPV-mm292c88nr.fa
MF588755.1	HPV-mEV03c434nr.fa
X74467.1	HPV14REF.fa
HM999993.1	HPV141REF.fa
MF588712.1	HPV-mw27c39cnr.fa
X74483.1	HPV56REF.fa
MF588701.1	HPV-mw20c01anr.fa
GQ845442.1	HPV120REF.fa
MF588726.1	HPV-mw20c10anr.fa
U31794.1	HPV66REF.fa
HM999997.1	HPV145REF.fa
MF588750.1	HPV-mw22c09nr.fa
MF588682.1	HPV-mm292c14nr.fa
HM999992.1	HPV140REF.fa
GQ845445.1	HPV123REF.fa
MF588737.1	HPV-mm090c145nr.fa
EF422221.1	HPV107REF.fa
AY395706.1	HPV62REF.fa
X62843.1	HPV13REF.fa
AF131950.1	HPV85REF.fa
HF930491.1	HPV174REF.fa
X74481.1	HPV52REF.fa
MF588706.1	HPV-mTVMBSGc529nr.fa
JF966376.1	HPV-mFD2nr.fa
AF531420.1	HPV92REF.fa
DQ080079.1	HPV68REF.fa
U31788.1	HPV44REF.fa
MF588735.1	HPV-mEV03c212nr.fa
DQ080078.1	HPV103REF.fa
FM955838.1	HPV99REF.fa
KJ130020.1	HPV178REF.fa
MF588742.1	HPV-mw20c08anr.fa
MF588740.1	HPV-mw18c07nr.fa
AF436128.1	HPV89REF.fa
M32305.1	HPV47REF.fa
D21208.1	HPV67REF.fa
AB027020.1	HPV69REF.fa
MF588708.1	HPV-mw20c01bnr.fa
MF588746.1	HPV-mEV03c40nr.fa
GQ845441.1	HPV119REF.fa
X55965.1	HPV57REF.fa
HM999998.1	HPV146REF.fa
MF588714.1	HPV-mw18c25nr.fa
AJ620211.1	HPV94REF.fa
DQ080080.1	HPV97REF.fa
AF151983.1	HPV83REF.fa
EU541441.1	HPV109REF.fa
U31785.1	HPV36REF.fa
FJ804072.1	HPV116REF.fa
GU117633.1	HPV133REF.fa
MF588720.1	HPV-mw34c11anr.fa
FN677755.1	HPV150REF.fa
Y15174.1	HPV76REF.fa
X70828.1	HPV63REF.fa
FM955837.2	HPV98REF.fa
KC862318.1	HPV167REF.fa
MF588731.1	HPV-mw34c34anr.fa
MF588738.1	HPV-mTVMBSHc13nr.fa
K02718.1	HPV16REF.fa
MF588689.1	HPV-mw11C51nr.fa
X00203.1	HPV6REF.fa
U31793.1	HPV61REF.fa
MF588744.1	HPV-mga2c01nr.fa
KX781282.1	HPV-mDysk3nr.fa
X05015.1	HPV18REF.fa
M14119.1	HPV11REF.fa
MF588684.1	HPV-mTVMBSFc09nr.fa
EU410349.1	HPV111REF.fa
HM999988.1	HPV136REF.fa
